Year,VIC_RACE,OffenseCount
2006,UNKNOWN,153248
2006,BLACK,120989
2006,WHITE,97334
2006,WHITEHISPANIC,81469
2006,ASIAN / PACIFIC ISLANDER,24156
2006,BLACKHISPANIC,15127
2006,AMERICAN INDIAN/ALASKAN NATIVE,2172
2007,UNKNOWN,174285
2007,BLACK,116367
2007,WHITE,92838
2007,WHITEHISPANIC,78565
2007,ASIAN / PACIFIC ISLANDER,24324
2007,BLACKHISPANIC,14768
2007,AMERICAN INDIAN/ALASKAN NATIVE,2092
2008,UNKNOWN,167711
2008,BLACK,115894
2008,WHITE,93450
2008,WHITEHISPANIC,79858
2008,ASIAN / PACIFIC ISLANDER,24568
2008,BLACKHISPANIC,14875
2008,AMERICAN INDIAN/ALASKAN NATIVE,2134
2009,UNKNOWN,169206
2009,BLACK,112318
2009,WHITE,87518
2009,WHITEHISPANIC,74348
2009,ASIAN / PACIFIC ISLANDER,22966
2009,BLACKHISPANIC,14662
2009,AMERICAN INDIAN/ALASKAN NATIVE,2039
2010,UNKNOWN,167096
2010,BLACK,112490
2010,WHITE,84829
2010,WHITEHISPANIC,74650
2010,ASIAN / PACIFIC ISLANDER,23633
2010,BLACKHISPANIC,15166
2010,AMERICAN INDIAN/ALASKAN NATIVE,2041
2011,UNKNOWN,163647
2011,BLACK,110665
2011,WHITE,83544
2011,WHITEHISPANIC,72476
2011,ASIAN / PACIFIC ISLANDER,23957
2011,BLACKHISPANIC,15118
2011,AMERICAN INDIAN/ALASKAN NATIVE,1979
2012,UNKNOWN,156661
2012,BLACK,115783
2012,WHITE,86644
2012,WHITEHISPANIC,75050
2012,ASIAN / PACIFIC ISLANDER,25797
2012,BLACKHISPANIC,15870
2012,AMERICAN INDIAN/ALASKAN NATIVE,2114
2013,UNKNOWN,149453
2013,BLACK,115871
2013,WHITE,83731
2013,WHITEHISPANIC,76494
2013,ASIAN / PACIFIC ISLANDER,27028
2013,BLACKHISPANIC,16539
2013,AMERICAN INDIAN/ALASKAN NATIVE,2321
2014,UNKNOWN,150762
2014,BLACK,113489
2014,WHITE,79202
2014,WHITEHISPANIC,74964
2014,ASIAN / PACIFIC ISLANDER,27787
2014,BLACKHISPANIC,16340
2014,AMERICAN INDIAN/ALASKAN NATIVE,2104
2015,UNKNOWN,144110
2015,BLACK,111761
2015,WHITE,75737
2015,WHITEHISPANIC,73921
2015,ASIAN / PACIFIC ISLANDER,28090
2015,BLACKHISPANIC,15871
2015,AMERICAN INDIAN/ALASKAN NATIVE,2134
2016,UNKNOWN,136402
2016,BLACK,114041
2016,WHITEHISPANIC,77180
2016,WHITE,74439
2016,ASIAN / PACIFIC ISLANDER,29947
2016,BLACKHISPANIC,16669
2016,AMERICAN INDIAN/ALASKAN NATIVE,2203
2017,UNKNOWN,135393
2017,BLACK,111185
2017,WHITEHISPANIC,75261
2017,WHITE,72896
2017,ASIAN / PACIFIC ISLANDER,29908
2017,BLACKHISPANIC,16658
2017,AMERICAN INDIAN/ALASKAN NATIVE,2279
2018,UNKNOWN,126729
2018,BLACK,112488
2018,WHITEHISPANIC,76816
2018,WHITE,71804
2018,ASIAN / PACIFIC ISLANDER,31228
2018,BLACKHISPANIC,17273
2018,AMERICAN INDIAN/ALASKAN NATIVE,2493
2019,UNKNOWN,123408
2019,BLACK,112745
2019,WHITEHISPANIC,77017
2019,WHITE,70186
2019,ASIAN / PACIFIC ISLANDER,33465
2019,BLACKHISPANIC,18331
2019,AMERICAN INDIAN/ALASKAN NATIVE,2570
2020,BLACK,105468
2020,UNKNOWN,100542
2020,WHITEHISPANIC,72814
2020,WHITE,63141
2020,ASIAN / PACIFIC ISLANDER,30753
2020,BLACKHISPANIC,17124
2020,AMERICAN INDIAN/ALASKAN NATIVE,1283
Year,VIC_RACE,OffenseCount
2021,UNKNOWN,113918
2021,BLACK,113209
2021,WHITEHISPANIC,77203
2021,WHITE,64268
2021,ASIAN / PACIFIC ISLANDER,35450
2021,BLACKHISPANIC,17929
2021,AMERICAN INDIAN/ALASKAN NATIVE,1416
Year,VIC_RACE,OffenseCount
2022,UNKNOWN,146704
2022,BLACK,125259
2022,WHITEHISPANIC,88094
2022,WHITE,74669
2022,ASIAN / PACIFIC ISLANDER,41170
2022,BLACKHISPANIC,20771
2022,AMERICAN INDIAN/ALASKAN NATIVE,2019