Year,VIC_SEX,OffenseCount
2006,F,204384
2006,M,169290
2006,UNKNOWN,120821
2007,F,200556
2007,M,163834
2007,UNKNOWN,138849
2008,F,197057
2008,M,161424
2008,UNKNOWN,140009
2009,F,187801
2009,M,151767
2009,UNKNOWN,143489
2010,F,188152
2010,M,149832
2010,UNKNOWN,141921
2011,F,184384
2011,M,147671
2011,UNKNOWN,139331
2012,F,193184
2012,M,154444
2012,UNKNOWN,130291
2013,F,193157
2013,M,153965
2013,UNKNOWN,124315
2014,F,185844
2014,M,150974
2014,UNKNOWN,127830
2015,F,180259
2015,M,150475
2015,UNKNOWN,120890
2016,F,183193
2016,M,153080
2016,UNKNOWN,114608
2017,F,178389
2017,M,150997
2017,UNKNOWN,114194
2018,F,178852
2018,M,152831
2018,UNKNOWN,107148
2019,F,178311
2019,M,155456
2019,UNKNOWN,103955
2020,F,158973
2020,M,144062
2020,UNKNOWN,88090
2021,F,174287
2021,M,149278
2021,UNKNOWN,99828
2022,F,197127
2022,M,173296
2022,UNKNOWN,128263